0038.co.jp.axfr:@ "v=spf1 include:spf.mail-cp.com ~all"
cinemauz.tv.axfr:@ "v=spf1 a mx ip4:217.29.124.225 ?all"
cinepax.com.axfr:thobson "v=spf1 +a +mx +ip4:72.52.179.79 ?all"
cinepax.com.axfr:@ "v=spf1 +a +mx +ip4:72.52.179.79 ?all"
cineplex.tv.axfr:@ "v=spf1 ip4:5.45.77.36 a mx ~all"
cinespace.de.axfr:@ "v=spf1 mx ip4:136.243.88.240 ~all"
cinetyk.com.axfr:@ "v=spf1 a mx -all"
cinewest.ru.axfr:@ "v=spf1 ip4:144.76.202.69 a mx ~all"
cinfed.com.axfr:@ "v=spf1 a mx:cinfed.com a:mail.cinfed.com include:spf.protection.outlook.com ~all"
cinichka.ru.axfr:@ "v=spf1 ip4:37.1.198.166 a mx ~all"
cinkultur.com.axfr:@ "v=spf1 include:aspmx.googlemail.com ~all"
cinq.com.br.axfr:@ "v=spf1 ip4:54.174.206.8 ip4:189.114.225.194 ip4:177.101.149.237 ip4:201.22.56.133 ip4:186.215.180.148 include:spf.protection.outlook.com ~all"
cinqmondes.com.axfr:@ "v=spf1 a mx ptr:ghst.net ptr:ovh.net ptr:simplerezo.com ip6:2001:4b98:dc0:45:216:3eff:fed8:825d"
cinvestav.mx.axfr:admon "v=spf1 ip4:148.247.73.50 mx a:148.247.73.120 mx:admon.cinvestav.mx ~all"
cinvestav.mx.axfr:@ "v=spf1 ip4:148.247.66.45 mx:148.247.66.46 mx:148.247.1.13 mx:cinvestav.mx mx:exchange.cinvestav.mx include:spf.protection.outlook.com -all"
cinziadimartino.it.axfr:@ "v=spf1 a mx -all"
cio-online.com.axfr:@ "v=spf1 include:rb.spf.advertstream.com include:nac.spf.advertstream.com include:db.spf.advertstream.com include:ovh.spf.advertstream.com include:cdedie.spf.advertstream.com ~all"
ciop.pl.axfr:@ "v=spf1 mx ip4:172.16.0.0/16 ip4:148.81.118.0/24 -all"
cio-today.com.axfr:@ "v=spf1 ip4:12.107.5.80/30 ip4:66.35.62.240/28 -all"
ciper.cl.axfr:@ "v=spf1 mx a ip4:201.236.22.52/32 ~all"
cipla.com.axfr:@ "v=spf1 a mx ptr include:netcore.co.in ~all"
ci.pomona.ca.us.axfr:mail1 "v=spf1 a -all"
ci.pomona.ca.us.axfr:@ "v=spf1 mx -all"
cirano.qc.ca.axfr:garde "v=spf1 a ?all"
cirano.qc.ca.axfr:monde "v=spf1 a ?all"
cirano.qc.ca.axfr:@ "v=spf1 ip4:10.33.1.0/24 ip4:24.37.140.0/24 a mx a:monde.cirano.qc.ca a:garde.cirano.qc.ca -all"
circuitcat.com.axfr:@ "v=spf1 ip4:178.33.112.22 ip4:213.229.186.0/27 ip4:213.229.189.208/28 ip4:213.229.189.144/28 ip4:213.27.158.0/27 ip4:178.33.222.250 ip6:2001:41d0:8:ce31::1 mx ~all"
circulocitroen.com.ar.axfr:@ "v=spf1 a mx ptr -all"
circus-co.jp.axfr:@ "v=spf1 redirect=2jp.org"
cirebonhosting.net.axfr:@ "v=spf1 a mx a:cirebonhosting.net ip4:206.72.193.188 ?all"
ciscozine.com.axfr:@ "v=spf1 a mx ip4:95.110.153.17 ~all"
ciseventsgroup.com.axfr:@ "v=spf1 a mx ~all"
cisnet.edu.vn.axfr:@ "v=spf1 a mx ~all"
cisnet.edu.vn.axfr:@ "v=spf1 include:_spf.google.com ~all"
ciss-shop.ru.axfr:@ "v=spf1 ip4:185.12.92.126 a mx ~all"
citadel.org.axfr:uncensored "v=spf1 a:relay2.xand.com a:prod.citadel.org a:uncensored.citadel.org mx -all"
citadel.org.axfr:@ "v=spf1 a:relay2.xand.com a:prod.citadel.org a:uncensored.citadel.org mx -all"
cita.es.axfr:@ "v=spf1 redirect=spf.dominioabsoluto.net"
citefin.com.axfr:@ "v=spf1 include:sendgrid.net ~all"
citefin.com.axfr:@ "v=spf1 ip4:67.225.200.39 ip4:67.225.200.40 ip4:67.225.200.41 ip4:67.225.200.42 ip4:67.225.200.43 ip4:67.225.200.44 ip4:67.225.200.45 ip4:67.225.200.46 a mx mx:citehr.com mx:citefin.com mx:citeops.com mx:citesales.com mx:citelegal.com mx:citeman.com ~all"
cite.gov.pt.axfr:@ "v=spf1 mx include:cmail1.com ~all"
citehr.com.axfr:@ "v=spf1 include:sendgrid.net ~all"
citehr.com.axfr:@ "v=spf1 ip4:67.225.200.39 ip4:67.225.200.40 ip4:67.225.200.41 ip4:67.225.200.42 ip4:67.225.200.43 ip4:67.225.200.44 ip4:67.225.200.45 ip4:67.225.200.46 a mx mx:citehr.com mx:citefin.com mx:citeops.com mx:citesales.com mx:citelegal.com mx:citeman.com ~all"
citemailer.com.axfr:@ "v=spf1 a mx ip4:67.225.200.49 ip4:67.225.200.50 ~all"
citemailer.com.axfr:@ "v=spf1 include:sendgrid.net ~all"
citeman.com.axfr:@ "v=spf1 include:sendgrid.net ~all"
citeman.com.axfr:@ "v=spf1 ip4:67.225.200.39 ip4:67.225.200.40 ip4:67.225.200.41 ip4:67.225.200.42 ip4:67.225.200.43 ip4:67.225.200.44 ip4:67.225.200.45 ip4:67.225.200.46 a mx mx:citehr.com mx:citefin.com mx:citeops.com mx:citesales.com mx:citelegal.com mx:citeman.com ~all"
citeops.com.axfr:@ "v=spf1 include:sendgrid.net ~all"
citeops.com.axfr:@ "v=spf1 ip4:67.225.200.39 ip4:67.225.200.40 ip4:67.225.200.41 ip4:67.225.200.42 ip4:67.225.200.43 ip4:67.225.200.44 ip4:67.225.200.45 ip4:67.225.200.46 a mx mx:citehr.com mx:citefin.com mx:citeops.com mx:citesales.com mx:citelegal.com mx:citeman.com ~all"
citesales.com.axfr:@ "v=spf1 include:sendgrid.net ~all"
citesales.com.axfr:@ "v=spf1 ip4:67.225.200.39 ip4:67.225.200.40 ip4:67.225.200.41 ip4:67.225.200.42 ip4:67.225.200.43 ip4:67.225.200.44 ip4:67.225.200.45 ip4:67.225.200.46 a mx mx:citehr.com mx:citefin.com mx:citeops.com mx:citesales.com mx:citelegal.com mx:citeman.com ~all"
cit-fei.org.axfr:@ "v=spf1 +a +mx +ip4:72.52.208.150 +ip4:67.227.252.222 ~all"
citicinemas.com.axfr:@ "v=spf1 mx mx:mail.citicinemas.com -all"
citilink.co.id.axfr:@ "v=spf1 a mx ip4:202.43.173.86 ip4:202.43.173.82 ip4:202.43.173.92 ip4:202.43.169.37 ip4:202.43.169.38 ip4:202.43.169.36 ip4:103.236.201.115 a:mail.lantip.info -all"
citilink.co.id.axfr:@ "v=spf1 include:spf.protection.outlook.com -all"
cititime.com.vn.axfr:@ "v=spf1 +a +mx +ip4:112.213.92.17 +ip4:222.255.121.186 ?all"
cititrends.com.axfr:@ "v=spf1 a mx ptr a:shopify.com ip4:216.119.48.0/24 ip4:12.35.16.0/24 ip4:206.200.251.0/24 ip4:12.228.50.0/24 ip4:50.63.191.0/24 ~all"
citiustech.com.axfr:@ "v=spf1 include:emailsrvr.com include:mailspf.smtp.com ?all"
cito-priorov.ru.axfr:@ "v=spf1 redirect=_spf.yandex.net"
cito-priorov.ru.axfr:@ "v=spf1 redirect=_spf.yandex.ru"
citraintirama.com.axfr:@ "v=spf1 ip4:103.247.9.3 +a +mx +ip4:103.247.9.2 ~all"
citra.net.id.axfr:@ "v=spf1 mx a ip4:202.65.112.0/23 ip4:202.65.122.0/23 ip4:202.65.114.0/24 a:whs1.citra.net.id a:js1.citra.net.id ~all"
citra.net.id.axfr:whs1 "v=spf1 a mx ptr -all"
citricacid.ir.axfr:@ "v=spf1 a mx ip4:5.9.52.211 ~all"
citroen-forum.nl.axfr:@ "v=spf1 +a +mx ~all"
citroen.pt.axfr:@ "v=spf1 include:_spf.ptasp.com ip4:85.88.136.13 ip4:85.10.130.98 -all"
citroen.ua.axfr:@ "v=spf1 a mx ip4:195.66.93.10 ~all"
citron-media.ru.axfr:@ "v=spf1 ip4:89.108.126.19 a mx ~all"
cits.net.axfr:newsletter "v=spf1 a mx include:virtual.dmdelivery.com ~all"
cittametropolitana.fi.it.axfr:@ "v=spf1 mx ~all"
cittoplus.com.axfr:@ "v=spf1 ip4:220.213.167.81 ip4:220.213.166.140 -all"
cityandstateny.com.axfr:@ " v=spf1 a mx include:aspmx.sailthru.com ~all"
cityandstateny.com.axfr:@ "v=spf1 a mx ip6:2606:B900:1:1::A ptr -all"
cityapk.com.axfr:@ "v=spf1 a mx ip4:31.210.111.226 ~all"
citycenters.ir.axfr:@ "v=spf1 a mx ip4:5.9.13.76 ~all"
citycentre.com.kw.axfr:@ "v=spf1 mx ip4:192.81.79.145 mx:mail.citycentre.com.kw -all"
citycheb.ru.axfr:@ "v=spf1 include:spf.protection.outlook.com -all"
citycng.com.axfr:@ "v=spf1 a mx ip4:103.253.74.237 ~all"
citycode.ru.axfr:@ "v=spf1 a mx ip4:185.66.70.31 ~all"
cityevents.tv.axfr:blog "v=spf1 +a +mx +ip4:67.227.175.189 +include:retailspf.smtp.com +include:spf.mileengine1.com ~all"
cityevents.tv.axfr:host2 "v=spf1 include:salutenycspf.smtp.com ?all"
cityevents.tv.axfr:m "v=spf1 +a +mx +ip4:67.227.175.189 +include:retailspf.smtp.com +include:spf.mileengine1.com ~all"
cityevents.tv.axfr:talentfindertv "v=spf1 +a +mx +ip4:67.227.175.189 +include:retailspf.smtp.com +include:spf.mileengine1.com ~all"
cityevents.tv.axfr:ticketing "v=spf1 +a +mx +ip4:67.227.175.189 +include:retailspf.smtp.com +include:spf.mileengine1.com ~all"
cityevents.tv.axfr:@ "v=spf1 +a +mx +ip4:67.227.175.191 +include:spf.mandrillapp.com +include:retailspf.smtp.com +include:spf.mileengine1.com ~all"
cityfarmer.info.axfr:@ "v=spf1 +a +mx +ip4:67.210.123.94 ?all"
cityfit.pl.axfr:bielsko-biala "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:daypass "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:dni-otwarte "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:it "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:lublin.it "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:lublin "v=spf1 +a +mx +ip4:86.111.247.23 +ip4:185.23.21.17 ~all"
cityfit.pl.axfr:mailing "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:onz "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:ptlublin "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:ptwarszawa "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:quiz "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:quiz-walbrzych "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:rzeszow "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:spectrum.it "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:studenci "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:targowek "v=spf1 +a +mx +ip4:86.111.247.23 +ip4:185.23.21.17 ~all"
cityfit.pl.axfr:urodziny.rzeszow "v=spf1 +a +mx +ip4:86.111.247.23 +ip4:185.23.21.17 ~all"
cityfit.pl.axfr:@ "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:@ "v=spf1 include:spf.protection.outlook.com ip4:176.31.123.199 -all"
cityfit.pl.axfr:walbrzych.it "v=spf1 +a +mx +ip4:86.111.247.23 ~all"
cityfit.pl.axfr:warszawa "v=spf1 +a +mx +ip4:86.111.247.23 +ip4:185.23.21.17 ~all"
cityfit.pl.axfr:zespol "v=spf1 +a +mx +ip4:86.111.247.23 +ip4:193.106.107.99 ~all"
cityfun24.pl.axfr:@ "v=spf1 a mx include:spf.linuxpl.com ip4:88.198.10.70 ip4:88.198.10.68 ip4:88.198.10.92 -all"
cityhost.com.ua.axfr:jazz "v=spf1 ip4:193.0.61.34 a mx ~all"
cityhost.com.ua.axfr:pilot "v=spf1 ip4:77.120.115.236 a mx ~all"
city-journal.org.axfr:@ "v=spf1 include:emailsrvr.com ~all"
citylife.az.axfr:@ "v=spf1 a -all"
citylife-new.com.axfr:* "v=spf1 include:spf.drive.ne.jp ~all"
citylife-new.com.axfr:@ "v=spf1 +ip4:219.94.200.16 ~all"
citynews.com.au.axfr:@ "v=spf1 a mx include:_spf.elasticemail.com ~all"
citynews.ro.axfr:newsletter "v=spf1 ip4:194.88.148.0/23 a mx ~all"
citynews.ro.axfr:@ "v=spf1 ip4:78.96.44.101 a mx ~all"
cityoflaredo.com.axfr:@ "v=spf1 mx ptr a:barspam.cityoflaredo.com ip4:12.68.136.169/27 -all"
cityofsacramento.org.axfr:@ "v=spf1 mx ip4:208.87.80.2 include:_spf.dmplocal.com include:_spf.simpleviewinc.com include:spf.protection.outlook.com -all"
citysmarttv.com.ua.axfr:@ "v=spf1 ip4:88.198.135.66 a mx ~all"
citytomb.com.axfr:@ "v=spf1 a -all"
cityunionbank.com.axfr:@ "v=spf1 ip4:202.54.158.35 a mx a:mail.cityunionbank.com"
cityunionbank.com.axfr:@ "v=spf1 ip4:202.54.158.38 a mx a:mail.cityunionbank.com"
cityunionbank.com.axfr:@ "v=spf1 ip4:202.54.158.63 a mx a:mail.cityunionbank.com"
cityunionbank.com.axfr:@ "v=spf1 ip4:66.198.168.84 a mx a:mail.cityunionbank.com"
ciu.edu.tr.axfr:karpaz "v=spf1 a -all"
ciu.edu.tr.axfr:@ "v=spf1 ip4:212.175.150.25 ip4:212.175.150.24 mx a:webmail.ciu.edu.tr a:mail.ciu.edu.tr mx:karpaz.ciu.edu.tr include:amazonses.com ~all"
civcraft.co.axfr:civcraftaux "v=spf1 mx -all"
civcraft.co.axfr:@ "v=spf1 mx -all"
civicesgroup.com.axfr:@ "v=spf1 a mx ip4:103.245.167.112 ~all"
civil.com.tr.axfr:@ "v=spf1 include:_spf.google.com ~all"
civilstars.com.axfr:@ "v=spf1 a mx ip4:176.31.212.178 ~all"
civinfo.com.axfr:@ "v=spf1 ip4:188.65.113.3 a ptr ~all"
civox.net.axfr:@ "v=spf1" "mx" "a" "ip4:94.23.134.224/27" "ip4:213.251.158.192/27" "a:mail.wmaker.net" "a:smtp01.wmaker.net" "a:smtp02.wmaker.net" "a:mailing01.wmaker.net" "a:mailing02.wmaker.net" "a:mailing03.wmaker.net" "a:mailing04.wmaker.net" "~all"
cizgicarrental.com.axfr:cizgicarrental.com "v=spf1 mx a:ns49-mx.dnscini.com -all"
cizgifilmizle.co.axfr:@ "v=spf1" "redirect=_spf.yandex.net"
cizgimedikal.com.axfr:@ "v=spf1 a mx ip4:37.247.112.236 ~all"
cizgirentacarantalya.com.axfr:cizgirentacarantalya.com "v=spf1 mx a:ns49-mx.dnscini.com -all"
cizgiromanvadisi.com.axfr:@ "v=spf1 a mx -all"
cjf.gob.mx.axfr:@ "\"v=spf1 mx ip4:159.16.245.27 mx:cjf.gob.mx ~all\""
cjf.gob.mx.axfr:@ "\"v=spf1 mx ip4:159.16.245.27 mx:correo.cjf.gob.mx ~all\""
cjterminal.com.axfr:@ "v=spf1 mx ip4:211.169.73.31 ~all"
ckait.cz.axfr:ckait.cz "v=spf1 mx include:_spf.quanti.cz ~all"
ckassets.com.axfr:asset3 "v=spf1 +a +mx +ip4:188.65.118.174 ~all"
ckassets.com.axfr:asset4 "v=spf1 +a +mx +ip4:188.65.118.174 ~all"
ckassets.com.axfr:asset5.ckassets.com "v=spf1 +a +mx +ip4:188.65.118.174 ~all"
ckassets.com.axfr:asset5 "v=spf1 +a +mx +ip4:188.65.118.174 ~all"
ckassets.com.axfr:asset6 "v=spf1 +a +mx +ip4:188.65.118.174 ~all"
ckassets.com.axfr:asset7 "v=spf1 +a +mx +ip4:188.65.118.174 ~all"
ckassets.com.axfr:asset8 "v=spf1 +a +mx +ip4:188.65.118.174 ~all"
ckassets.com.axfr:@ "v=spf1 +a +mx +ip4:188.65.118.174 +ip4:195.62.28.6 ~all"
ckbproducts.com.axfr:@ "v=spf1 a ip4:71.13.176.0/24 ip4:74.126.8.0/24 ~all"
ckb-rzd.ru.axfr:@ "v=spf1 +a +mx -all +a:vps2-1032651-9009.host4g.ru"
ck.ck.ua.axfr:@ "v=spf1 ip4:88.214.236.147 a mx ~all"
ckopo.net.axfr:@ "v=spf1 ip4:78.140.173.26 a mx ~all"
ckopo.net.axfr:@ "v=spf1 ip4:94.185.80.107 a mx ~all"
ckr.ru.axfr:forum "v=spf1 a mx"
ckr.ru.axfr:@ "v=spf1 a mx"
clacso.edu.ar.axfr:listas "\226\128\156v=spf1" "-all\226\128\157"
clacso.edu.ar.axfr:mailweb "v=spf1 a mx ptr ip4:168.96.200.193 a:mailweb.clacso.edu.ar a:formacionv.clacso.edu.ar a:piluso2.clacso.edu.ar ~all"
clacso.edu.ar.axfr:spf "v=spf1 include:_spf.google.com ~all"
clacso.edu.ar.axfr:@ "v=spf1 a mx ptr ~all"
clacso.edu.ar.axfr:@ "v=spf1 a mx ptr a:mail-wi0-f179.google.com ~all"
clagen.net.axfr:@ "v=spf1 mx ip4:114.108.128.63 ~all"
clagine.com.axfr:bd "v=spf1 ip4:67.23.227.18 ip4:107.172.15.66 +a +mx +ip4:23.91.125.103 ~all"
clagine.com.axfr:ca "v=spf1 +a +mx +ip4:67.23.227.18 ~all"
clagine.com.axfr:ehlif "v=spf1 +a +mx +ip4:67.23.227.18 ~all"
clagine.com.axfr:es "v=spf1 +a +mx +ip4:67.23.227.18 ~all"
clagine.com.axfr:fr "v=spf1 +a +mx +ip4:67.23.227.18 ~all"
clagine.com.axfr:in "v=spf1 ip4:67.23.227.18 ip4:107.172.15.66 +a +mx +ip4:23.91.125.103 ~all"
clagine.com.axfr:pk "v=spf1 ip4:67.23.227.18 ip4:107.172.15.66 +a +mx +ip4:23.91.125.103 ~all"
clagine.com.axfr:se "v=spf1 +a +mx +ip4:67.23.227.18 ~all"
clagine.com.axfr:uk "v=spf1 ip4:67.23.227.18 +a +mx +ip4:107.172.15.66 ~all"
clagine.com.axfr:us "v=spf1 ip4:67.23.227.18 +a +mx +ip4:107.172.15.66 ~all"
clagine.com.axfr:@ "v=spf1 +a +mx +ip4:67.23.227.18 +ip4:67.23.227.22 +ip4:107.172.15.66 +ip4:23.91.125.103 +a:relay.mailchannels.net ~all"
clansell.ir.axfr:@ "v=spf1 a mx ip4:5.9.13.76 ~all"
clapat.ro.axfr:blog "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:c-blog "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:clapat "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:clienti "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:clisuradunarii "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:clubworx-entertainment "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:gemic "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:guam "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:irimica "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:irmgard "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:k-corsova "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:lapte "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:shop "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:teiu "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:test "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:toplet "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:vior-pc "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clapat.ro.axfr:@ "v=spf1 ip4:80.237.237.194 +a +mx +ip4:217.19.15.172 ?all"
clareflorist.co.uk.axfr:@ "v=spf1 ip4:212.20.247.106 ip4:212.20.247.104 ip4:212.20.247.105 ip4:209.59.181.10 ip4:209.59.181.6 ip4:209.59.181.2 ip4:209.59.181.30 ip4:85.232.40.20 ip4:195.188.42.14 include:cmail1.com a include:trustpilotservice.com ~all"
clarionledger.com.axfr:@ "v=spf1 include:spf.gannett.com -all"
claritynet.com.axfr:@ "v=spf1 ip4:216.54.15.156 ip4:216.54.15.134 ip4:216.54.12.20 ip4:216.54.12.21 ~all"
clarkesworldmagazine.com.axfr:@ "v=spf1 ip4:198.144.194.8/29 a mx include:aspmx.googlemail.com"
claromusica.com.axfr:@ "v=spf1 ip4:207.126.144.0/20 ip4:64.18.0.0/20 ip4:74.125.148.0/22 ip4:187.45.217.120 ip4:201.49.212.96/27 ip4:201.49.222.192/27 include:_spf.google.com include:spf1.auinmeio.com.br " "ip4:23.23.184.78 " "ip4:201.76.186.70 " "ip4:54.197.235.111 " "include:spf2.auinmeio.com.br ~all"
clasna.ru.axfr:@ "v=spf1 ip4:89.253.223.128 redirect=_spf.yandex.ru"
class-a.jp.axfr:@ "v=spf1 a mx ~all"
classcharts.com.axfr:mg "v=spf1 include:mailgun.org ~all"
classcharts.com.axfr:@ "v=spf1 a mx include:smtp1.uservoice.com ~all"
classewig.com.axfr:@ "v=spf1 a mx ip4:58.156.129.133 ip4:58.156.129.133 ~all"
classical-music-online.net.axfr:@ "v=spf1 ip4:178.236.137.235 a mx ~all"
classiccarsdb.com.axfr:@ "v=spf1 a mx ip4:204.45.251.75 ~all"
classiccarslist.com.axfr:@ "v=spf1 a mx ip4:204.45.251.75 ~all"
classiceliteyarns.com.axfr:julepb.classiceliteyarns.com "v=spf1 +a +mx +ip4:192.254.137.143 ?all"
classiceliteyarns.com.axfr:@ "v=spf1 mx a ip4:75.150.69.169 include:serverdata.net -all"
classicfuncenter.com.axfr:@ "v=spf1 ip4:166.70.53.52 ~all"
classic-online.ru.axfr:@ "v=spf1 ip4:178.236.137.206 ip4:178.236.137.235 a mx ~all"
classicshowerhead.com.axfr:@ "v=spf1 +a +mx +ip4:69.167.139.212 ~all"
classictic.com.axfr:@ "v=spf1 include:amazonses.com a:mout.kundenserver.de a:mail.classictic.biz a:classictic.biz -all"
classificadoscm.pt.axfr:@ "\"v=spf1 a:mail.cofina.pt a:secundario.cofina.pt mx:cofina.pt include:cofina.pt include:anubisnetworks.com ~all\""
classifieds-free.co.uk.axfr:@ "v=spf1 a mx a:classifieds-free.co.uk ip4:176.9.3.246 ?all"
classifiedweb.com.axfr:@ "v=spf1 +a +mx +ip4:67.227.144.154 ?all"
classyclutter.net.axfr:@ "v=spf1 a mx a:mail.orangegeek.net mx:mail.orangegeek.net ip4:208.67.187.164 ?all"
claudioinacio.com.axfr:@ "v=spf1 a mx ip4:5.135.120.77 ?all"
clavijero.edu.mx.axfr:@ "v=spf1 a:webmail.clavijero.edu.mx a:mail.clavijero.edu.mx a:srvedge.clavijero.edu.mx ~all"
cleanandscentsible.com.axfr:@ "v=spf1 a mx a:mail.orangegeek.net mx:mail.orangegeek.net ip4:208.67.187.164 ?all"
cleanflight.com.axfr:@ "v=spf1 a mx a:mail.hydraservices.com ip4:109.233.115.223 ~all"
cleanitup.co.uk.axfr:@ "v=spf1 mx a mx:icleansystems.co.uk mx:expclean.co.uk mx:i-clean.info ?all"
cleantec.ru.axfr:@ "v=spf1 +a +mx -all"
clearance-king.co.uk.axfr:server "v=spf1 include:_spf.google.com +a +mx +ip4:212.48.74.17 ~all"
clearance-king.co.uk.axfr:@ "v=spf1 include:_spf.google.com +a +mx +ip4:212.48.74.17 ~all"
clear.com.br.axfr:@ "v=spf1 include:_spf.google.com ip4:201.48.132.97/32 ip4:187.72.61.209/28 ip4:189.125.43.241/29 ip4:189.125.10.102 ip4:200.143.180.180 ~all"
clearlyinventory.com.axfr:@ "v=spf1 ip4:66.129.67.0/24 ip4:66.129.68.0/23 ip4:66.129.71.0/24 ip4:66.129.79.0/24 ip4:66.129.120.0/24 ptr ?all"
clearoutside.com.axfr:@ "v=spf1 include:_spf.google.com ip4:185.52.24.8 include:helpscoutemail.com ~all"
clearstar.com.axfr:@ "v=spf1 a mx ~all"
cleco.com.axfr:@ "v=spf1 include:_spf.kubra.com sendgrid.net ip4:206.56.254.4 ip4:206.56.252.2 ip4:67.222.210.217 ip4:67.222.210.216 ip4:74.114.177.7 ip4:12.198.190.49 ip4:12.198.190.39 -all"
clen9.ru.axfr:@ "v=spf1 a mx ip4:78.47.80.105 ~all"
cleobabys.com.axfr:@ "v=spf1 ip4:202.67.9.250 ip4:202.67.9.251 ip4:202.67.9.252 ip4:117.102.117.120 include:_spf.google.com ~all"
cleo.li.axfr:@ "v=spf1 ip4:78.24.218.65 a mx ~all"
clevelandmagtv.com.axfr:@ "v=spf1 a mx ~all"
cleverads.vn.axfr:@ "v=spf1 include:_spf.google.com ~all"
clevercfo.edu.vn.axfr:@ "v=spf1 a mx ~all"
clevercfo.edu.vn.axfr:@ "v=spf1 include:_spf.google.com ~all"
clever-dragons.com.axfr:@ "v=spf1 mx ~all"
cleverinvestor.com.axfr:@ "v=spf1 a mx include:cleverinvestorspf.smtp.com include:infusionmail.com include:sendgrid.net ?all"
clevermedia.hu.axfr:@ "v=spf1 a mx ip4:185.6.139.221 ~all"
cleversafe.com.axfr:@ "v=spf1 include:mktomail.com include:spf.protection.outlook.com -all"
clevertoys.ro.axfr:@ "v=spf1 mx a ip4:91.250.80.161 ip4:5.35.254.38 mx:web.polysoft.ro mx:hostxx.polysoft.ro ?all"
clevietnam.com.axfr:@ "v=spf1 a mx ~all"
click2tag.net.axfr:uistestiranje "v=spf1 +a +mx +ip4:67.23.226.169 ~all"
click2tag.net.axfr:@ "v=spf1 ip4:67.23.226.169 +a +mx +ip4:67.23.226.241 ~all"
click4yatra.com.axfr:@ "v=spf1 +a +mx -all +a:103.29.235.60"
clickbanklab.com.axfr:mail "v=spf1 mx a ip4:104.245.35.220/32 ?all"
clickbanklab.com.axfr:@ "v=spf1 mx a ip4:104.245.35.220/32 ?all"
clickbetter.com.axfr:clickbetter "v=spf1 +a +mx +ip4:67.225.180.47 ?all"
clickbetter.com.axfr:clickbetter "v=spf1 mx a ptr ip4:67.225.180.47 ip4:67.227.165.179 ip4:67.227.165.180 ip4:67.225.181.163 a:mail.clickbetter.com ?all"
clickbetter.com.axfr:new "v=spf1 mx a ptr ip4:67.225.180.47 ip4:67.227.165.179 ip4:67.227.165.180 ip4:67.225.181.163 a:mail.clickbetter.com ?all"
clickbetter.com.axfr:@ "v=spf1 +a +mx +ip4:67.225.180.47 +ip4:67.225.181.163 +ip4:67.227.165.179 +ip4:67.227.165.180 ?all"
clickbetter.support.axfr:@ "v=spf1 +a +mx +ip4:67.227.243.103 ~all"
clickintext.com.axfr:@ "v=spf1 redirect=spf.klois.net"
clicknovaolimpia.com.br.axfr:@ "v=spf1 a mx include:sendgrid.net ip4:186.202.70.125 ip4:198.11.237.163 ~all"
